,,,CREACIÓN,,MODIFICACIÓN,,,,
CATEGORIAS,CÓDIGO,CATEGORIAS,BASE LEGAL,FECHA PROMULGACIÓN,BASE LEGAL,FECHA PROMULGACIÓN,UBICACIÓN POLITICA,EXTENSION  (ha),
BOSQUES DE PROTECCION  (6),BP 04,San Matías - San Carlos,R.S. Nº 0101-1987-AG/DGFF,20.03.1987,,,PASCO,"145,818.00",
BOSQUES DE PROTECCION  (6),BP 05,Pagaibamba,R.S. Nº 0222-1987-AG/DGFF,19.06.1987,,,CAJAMARCA,"2,078.38",
BOSQUES DE PROTECCION  (6),BP 06,Alto Mayo,R.S. Nº 0293-1987-AG/DGFF,23.07.1987,,,SAN MARTIN,"182,000.00",
COTOS DE CAZA                    (2),"CC
CC 01","
El Angolo",R.S. Nº 0264-1975-AG,01.07.1975,,,PIURA,"65,000.00",
COTOS DE CAZA                    (2),CC 02,Sunchubamba,R.M. Nº 00462-1977-AG,22.04.1977,,,CAJAMARCA y LA LIBERTAD,"59,735.00",
ZONAS RESERVADAS           (09),"ZR
01",Chancaybaños,D.S. Nº 001-1996-AG,14.02.1996,,,CAJAMARCA,"2,628.00",
ZONAS RESERVADAS           (09),3,Santiago - Comaina,D.S. Nº 005-1999-AG,21.01.1999,D.S. Nº 029-2000-AG/ D.S. Nº 023-2007-AG,06.07.2000 - 09.08.2007,AMAZONAS y LORETO,"398,449.44",
ZONAS RESERVADAS           (09),5,Cordillera Huayhuash,R.M. Nº 1173-2002-AG,20.12.2002,,,"ANCASH, HUANUCO y LIMA","67,589.76",
ZONAS RESERVADAS           (09),7,Sierra del Divisor,R.M. Nº 283-2006-AG,05.04.2006,D.S. Nº 014-2015-MINAM,09.11.2015,LORETO,"62,234.62",
ZONAS RESERVADAS           (09),11,Río Nieva,R.M. Nº 187-2010-MINAM,01.10.2010,,,AMAZONAS,"36,348.30",
ZONAS RESERVADAS           (09),13,Bosque de Zárate,R.M. Nº 195-2010-MINAM,13.10.2010,,,LIMA,545.75,
ZONAS RESERVADAS           (09),14,Illescas,R.M. Nº 251-2010-MINAM,16.12.2010,,,PIURA,"37,452.58",
ZONAS RESERVADAS           (09),15,Reserva Paisajística Cerro Khapia,D.S. Nº 008-2011-MINAM,28.05.2011,R.P. N° 096-2011-SERNANP,31.05.2011,PUNO,"18,313.79",
ZONAS RESERVADAS           (09),17,Ancón,R.M. Nº 275-2011-MINAM,28.11.2011,R.M. Nº 140-2013-MINAM,10.05.2013,LIMA,"2,193.01",
AREAS DE CONSERVACION REGIONAL (25),"ACR
ACR 01","
Cordillera Escalera",D.S. Nº 045-2005-AG,22.12.2005,,,SAN MARTIN,149870,
AREAS DE CONSERVACION REGIONAL (25),ACR 02,Humedales de Ventanilla,D.S. Nº 074-2006-AG,19.12.2006,D.S. Nº 003-2012-MINAM,06.09.2012,CALLAO,275.45,
AREAS DE CONSERVACION REGIONAL (25),ACR 03,Albúfera de Medio Mundo,D.S. Nº 006-2007-AG,24.01.2007,D.S. Nº 005-2013-MINAM,06.06.2013,LIMA,687.71,
AREAS DE CONSERVACION REGIONAL (25),ACR 04,Comunal Tamshiyacu Tahuayo,D.S. Nº 010-2009-MINAM,15.05.2009,,,LORETO,420080.25,
AREAS DE CONSERVACION REGIONAL (25),ACR 05,Vilacota Maure,D.S. Nº 015-2009-MINAM,27.08.2009,,,TACNA,124313.18,
AREAS DE CONSERVACION REGIONAL (25),ACR 06,Imiria,D.S. Nº 006-2010-MINAM,15.06.2010,,,UCAYALI,135737.52,
AREAS DE CONSERVACION REGIONAL (25),ACR 07,Choquequirao,D.S. Nº 022-2010-MINAM,23.12.2010,,,CUSCO,103814.39,
AREAS DE CONSERVACION REGIONAL (25),ACR 08,Bosque de Puya Raymondi - Titankayocc,D.S. Nº 023-2010-MINAM,23.12.2010,,,AYACUCHO,6272.39,
AREAS DE CONSERVACION REGIONAL (25),ACR 09,Ampiyacu Apayacu,D.S. Nº 024-2010-MINAM,23.12.2010,,,LORETO,434129.54,
AREAS DE CONSERVACION REGIONAL (25),ACR 10,Alto Nanay-Pintuyacu-Chambira,D.S. Nº 005-2011-MINAM,18.03.2011,,,LORETO,954635.48,
AREAS DE CONSERVACION REGIONAL (25),ACR 11,Angostura Faical,D.S. Nº 006-2011-MINAM,18.03.2011,,,TUMBES,8794.5,
AREAS DE CONSERVACION REGIONAL (25),ACR 12,Bosque Huacrupe - La Calera,D.S. Nº 012-2011-MINAM,22.06.2011,,,LAMBAYEQUE,7272.27,
AREAS DE CONSERVACION REGIONAL (25),ACR 13,Bosque Moyán - Palacio,D.S. Nº 013-2011-MINAM,22.06.2011,,,LAMBAYEQUE,8457.76,
AREAS DE CONSERVACION REGIONAL (25),ACR 14,Huaytapallana,D.S. Nº 018-2011-MINAM,21.07.2011,,,JUNÍN,22406.52,
AREAS DE CONSERVACION REGIONAL (25),ACR 15,Bosques Secos de Salitral - Huarmaca,D.S. Nº 019-2011-MINAM,21.07.2011,,,PIURA,28811.86,
AREAS DE CONSERVACION REGIONAL (25),ACR 16,Laguna de Huacachina,D.S. Nº 008-2014-MINAM,06.08.2014,,,ICA,2407.72,
AREAS DE CONSERVACION REGIONAL (25),ACR 17,Maijuna Kichwa,D.S. Nº 008-2015-MINAM,16.06.2015,,,LORETO,391039.82,
AREAS DE CONSERVACION REGIONAL (25),ACR 18,Tres Cañones,D.S. Nº 006-2017-MINAM,24.08.2017,,,CUSCO,39485.11,
AREAS DE CONSERVACION REGIONAL (25),ACR 19,Vista Alegre-Omia,D.S. Nº 005-2018-MINAM,17.06.2018,,,AMAZONAS,48944.51,
AREAS DE CONSERVACION REGIONAL (25),ACR 20,Bosques Tropicales Estacionalmente Secos del Marañón,D.S. Nº 006-2018-MINAM,17.06.2018,,,AMAZONAS,13929.12,
AREAS DE CONSERVACION REGIONAL (25),ACR 21,Bosques de Shunté y Mishollo,D.S. Nº 016-2018-MINAM,15.12.2018,,,SAN MARTIN,191405.53,
AREAS DE CONSERVACION REGIONAL (25),ACR 22,"Bosques El Chaupe, Cunia y Chinchiquilla",D.S. Nº 008-2019-MINAM,01.10.2019,,,CAJAMARCA,21868.88,
AREAS DE CONSERVACION REGIONAL (25),ACR 23,Sistema de Lomas de Lima,D.S. Nº 011-2019-MINAM,07.12.2019,,,LIMA,13475.74,
AREAS DE CONSERVACION REGIONAL (25),ACR 24,Ausangate,D.S. Nº 012-2019-MINAM,12.12.2019,,,CUSCO,66514.17,
AREAS DE CONSERVACION REGIONAL (25),ACR 25,Bosque Montano de Carpish,D.S. Nº 014-2019-MINAM,01.01.2020,,,HUANUCO,50559.21,
areas de conservacion privada (143),1,Chaparrí,R.M. Nº 1324-2001-AG,19.12.2001,R.M. Nº 153-2011-MINAM,19.07.2011,LAMBAYEQUE y CAJAMARCA,34412,
areas de conservacion privada (143),2,Bosque Natural El Cañoncillo,R.M. Nº 0804-2004-AG,16.09.2004,,,LA LIBERTAD,1310.9,
areas de conservacion privada (143),3,Pacllón,R.M. Nº 908-2005-AG,13.12.2005,,,ANCASH,12896.56,
areas de conservacion privada (143),4,Huayllapa,R.M. Nº 909-2005-AG,13.12.2005,R.M. Nº 202-2007-AG,06.03.2007,LIMA,21106.57,
areas de conservacion privada (143),6,Huiquilla,R.M. Nº 1458-2006-AG,30.11.2006,,,AMAZONAS,1140.54,
areas de conservacion privada (143),7,San Antonio,R.M. Nº 227-2007-AG,09.03.2007,,,AMAZONAS,357.39,
areas de conservacion privada (143),9,Jirishanca,R.M. Nº 346-2007-AG,24.04.2007,,,HUANUCO,12172.91,
areas de conservacion privada (143),10,Abra Patricia - Alto Nieva,R.M. Nº 621-2007-AG,16.10.2007,,,AMAZONAS,1415.74,
areas de conservacion privada (143),13,Abra Málaga Thastayoc - Royal Cinclodes,R.M. Nº 004-2009-MINAM,16.01.2009,,,CUSCO,70.644,
areas de conservacion privada (143),14,Hatun Queuña-Quishuarani Ccollana,R.M. Nº 005-2009-MINAM,16.01.2009,,,CUSCO,234.88,
areas de conservacion privada (143),17,Sele Tecse - Lares Ayllu,R.M. Nº 072-2010-MINAM,06.05.2010,,,CUSCO,974.22,
